Date,Adj Close,Close,High,Low,Open,Volume
10-05-2019,41.56999969,41.56999969,45,41.06000137,42,186322500
13-05-2019,37.09999847,37.09999847,39.24000168,36.08000183,38.79000092,79442400
14-05-2019,39.95999908,39.95999908,39.95999908,36.84999847,38.31000137,46661100
15-05-2019,41.29000092,41.29000092,41.88000107,38.95000076,39.36999893,36086100
16-05-2019,43,43,44.06000137,41.25,41.47999954,38115500
17-05-2019,41.90999985,41.90999985,43.29000092,41.27000046,41.97999954,20225700
20-05-2019,41.59000015,41.59000015,41.68000031,39.45999908,41.18999863,29222300
21-05-2019,41.5,41.5,42.24000168,41.25,42,10802900
22-05-2019,41.25,41.25,41.27999878,40.5,41.04999924,9089500
23-05-2019,40.47000122,40.47000122,41.09000015,40.02000046,40.79999924,11119900
24-05-2019,41.50999832,41.50999832,41.50999832,40.5,41.27999878,8786800
28-05-2019,40.95000076,40.95000076,41.79999924,40.59999847,41.70000076,13391600
29-05-2019,39.93999863,39.93999863,40.70999908,39.14699936,40.52000046,14060400
30-05-2019,39.79999924,39.79999924,40.38000107,39.5,40.06999969,26451900
31-05-2019,40.40999985,40.40999985,41.56999969,39.40999985,41.15000153,23209800
03-06-2019,41.25,41.25,41.84999847,40.24000168,40.74399948,16605300
04-06-2019,42.75,42.75,42.88000107,40.70000076,42.56000137,23432100
05-06-2019,45,45,45.65999985,42.5,42.86999893,28609600
06-06-2019,44.91999817,44.91999817,45.75,44.27999878,45,16403700
07-06-2019,44.15999985,44.15999985,45.66999817,44.13000107,44.91999817,12654700
10-06-2019,42.61000061,42.61000061,44.59000015,42.52999878,44.02000046,11618700
11-06-2019,42.45000076,42.45000076,43.65000153,41.79999924,43.22000122,9095000
12-06-2019,42.16999817,42.16999817,42.65000153,41.70999908,42.52000046,5965300
13-06-2019,44.31000137,44.31000137,44.34999847,42.79999924,43.04999924,10178900
14-06-2019,43.22999954,43.22999954,44.79999924,43.11000061,44.75,7902200
17-06-2019,43.77999878,43.77999878,44.07899857,42.93000031,43.27999878,6557600
18-06-2019,43.86000061,43.86000061,44.88999939,43.75,44.29999924,7313600
19-06-2019,44.86000061,44.86000061,45.5,43.95000076,44.45999908,10331500
20-06-2019,43.86000061,43.86000061,45.29000092,43.50999832,45.02999878,9567400
21-06-2019,44,44,44.13999939,43.38000107,43.84999847,4974000
24-06-2019,43.09000015,43.09000015,44.06999969,42.81999969,44,5985100
25-06-2019,43.09000015,43.09000015,43.79000092,42.44300079,43.27999878,5753300
26-06-2019,42.5,42.5,43.40000153,42.36000061,43.25,8109100
27-06-2019,45.13000107,45.13000107,45.29999924,43.20000076,43.34999847,20155100
28-06-2019,46.38000107,46.38000107,47.08000183,45.08000183,45.09999847,28657000
01-07-2019,44.27000046,44.27000046,47.04000092,44.06000137,46.97999954,17660500
02-07-2019,44,44,44.68000031,43.75,44.54999924,11881300
03-07-2019,44.22999954,44.22999954,44.45999908,43.79000092,44,3380000
05-07-2019,43.52999878,43.52999878,44.54999924,43.00999832,44.31000137,8239500
08-07-2019,42.95000076,42.95000076,43.84999847,42.75,43.59000015,9304100
09-07-2019,44.20000076,44.20000076,44.22999954,42.97999954,43.18000031,5251600
10-07-2019,43.70000076,43.70000076,44.79999924,43.56000137,44.47999954,9746500
11-07-2019,43.99000168,43.99000168,44.29000092,43.31000137,44.09999847,8050900
12-07-2019,43.99000168,43.99000168,44.24000168,43.38999939,44.15999985,8760500
15-07-2019,44.52999878,44.52999878,44.70000076,43.97000122,44.20000076,5811200
16-07-2019,44.13000107,44.13000107,44.97999954,44.02000046,44.59999847,5613300
17-07-2019,43.61999893,43.61999893,44.34999847,43.52000046,44.06000137,5854100
18-07-2019,43.70999908,43.70999908,43.84999847,43.18999863,43.5,4078700
19-07-2019,43.18000031,43.18000031,44.08599854,43.15999985,43.90000153,4021000
22-07-2019,43.68999863,43.68999863,43.72000122,43.00999832,43.25,3815300
23-07-2019,43.36000061,43.36000061,44.31000137,43.11000061,43.75,5110100
24-07-2019,43.75999832,43.75999832,43.86999893,43.36000061,43.36000061,3775700
25-07-2019,43.40000153,43.40000153,43.95999908,43.20999908,43.72000122,4412000
26-07-2019,44.52000046,44.52000046,44.95999908,43.38999939,43.41999817,7598800
29-07-2019,43.88000107,43.88000107,45.6269989,43.11999893,45,8652200
30-07-2019,42.59000015,42.59000015,43.74000168,42.49000168,43.70999908,7686300
31-07-2019,42.13999939,42.13999939,42.97999954,41.84000015,42.59999847,5970800
01-08-2019,41.31000137,41.31000137,42.5359993,41,42.13999939,7349700
02-08-2019,40.40000153,40.40000153,41.06000137,39.95000076,41.02999878,8225700
05-08-2019,39.04999924,39.04999924,39.41999817,38.43299866,39.34999847,9799300
06-08-2019,39.15000153,39.15000153,40.80799866,38.36000061,39.68000031,8570300
07-08-2019,39.70000076,39.70000076,39.99000168,38.31999969,39.06000137,8896000
08-08-2019,42.97000122,42.97000122,43,41.25,41.97999954,29610500
09-08-2019,40.04999924,40.04999924,40.68000031,38.70999908,39.56000137,35138800
12-08-2019,37,37,39.95000076,37,39.83000183,21231300
13-08-2019,36.45000076,36.45000076,37.45999908,36.11999893,37,18990600
14-08-2019,33.95999908,33.95999908,36.29999924,33.36000061,36,24481600
15-08-2019,33.22000122,33.22000122,34.54999924,32.91999817,34.52000046,13265800
16-08-2019,35.22999954,35.22999954,35.47999954,33.40000153,33.45999908,13883200
19-08-2019,34.61000061,34.61000061,35.79999924,34.36999893,35.52999878,10853100
